CODGEO;TP4018;TP5018;TP6018;TP60Q218;TP60IP18;AGE1TP4018;AGE1TP5018;AGE1TP6018;AGE1TP60Q218;AGE1TP60IP18;AGE2TP4018;AGE2TP5018;AGE2TP6018;AGE2TP60Q218;AGE2TP60IP18;AGE3TP4018;AGE3TP5018;AGE3TP6018;AGE3TP60Q218;AGE3TP60IP18;AGE4TP4018;AGE4TP5018;AGE4TP6018;AGE4TP60Q218;AGE4TP60IP18;AGE5TP4018;AGE5TP5018;AGE5TP6018;AGE5TP60Q218;AGE5TP60IP18;AGE6TP4018;AGE6TP5018;AGE6TP6018;AGE6TP60Q218;AGE6TP60IP18;TME1TP4018;TME1TP5018;TME1TP6018;TME1TP60Q218;TME1TP60IP18;TME2TP4018;TME2TP5018;TME2TP6018;TME2TP60Q218;TME2TP60IP18;TME3TP4018;TME3TP5018;TME3TP6018;TME3TP60Q218;TME3TP60IP18;TME4TP4018;TME4TP5018;TME4TP6018;TME4TP60Q218;TME4TP60IP18;TME5TP4018;TME5TP5018;TME5TP6018;TME5TP60Q218;TME5TP60IP18;TOL1TP4018;TOL1TP5018;TOL1TP6018;TOL1TP60Q218;TOL1TP60IP18;TOL2TP4018;TOL2TP5018;TOL2TP6018;TOL2TP60Q218;TOL2TP60IP18;TLD2TP4018;TLD2TP5018;TLD2TP6018;TLD2TP60Q218;TLD2TP60IP18;TLD3TP4018;TLD3TP5018;TLD3TP6018;TLD3TP60Q218;TLD3TP60IP18;TYM1TP4018;TYM1TP5018;TYM1TP6018;TYM1TP60Q218;TYM1TP60IP18;TYM2TP4018;TYM2TP5018;TYM2TP6018;TYM2TP60Q218;TYM2TP60IP18;TYM3TP4018;TYM3TP5018;TYM3TP6018;TYM3TP60Q218;TYM3TP60IP18;TYM4TP4018;TYM4TP5018;TYM4TP6018;TYM4TP60Q218;TYM4TP60IP18;TYM5TP4018;TYM5TP5018;TYM5TP6018;TYM5TP60Q218;TYM5TP60IP18;TYM6TP4018;TYM6TP5018;TYM6TP6018;TYM6TP60Q218;TYM6TP60IP18;OPR1TP4018;OPR1TP5018;OPR1TP6018;OPR1TP60Q218;OPR1TP60IP18;OPR2TP4018;OPR2TP5018;OPR2TP6018;OPR2TP60Q218;OPR2TP60IP18;OPR3TP4018;OPR3TP5018;OPR3TP6018;OPR3TP60Q218;OPR3TP60IP18;OPR4TP4018;OPR4TP5018;OPR4TP6018;OPR4TP60Q218;OPR4TP60IP18;OPR5TP4018;OPR5TP5018;OPR5TP6018;OPR5TP60Q218;OPR5TP60IP18
01004;15;21;27;8120;0.374;17;22;30;8200;0.368;21;29;36;7400;0.43;20;27;32;7680;0.408;14;18;24;8010;0.383;;11;16;9230;0.289;;;;;;12;16;22;8060;0.379;8;11;16;8530;0.342;12;18;25;8700;0.33;14;19;25;8330;0.358;33;44;53;7520;0.42;5;6;9;9880;0.238;25;34;43;7520;0.42;37;48;58;7140;0.45;13;20;27;8650;0.333;;;19;7140;0.449;;18;24;8330;0.358;;;8;9610;0.26;16;23;29;8380;0.354;33;41;51;7090;0.453;;;31;7950;0.387;11;18;25;8890;0.315;;;;6000;0.538;;;;;;8;12;17;9030;0.304;;;;;
01007;;8;12;9090;0.299;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;33;7710;0.406;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;10;9770;0.247;;;;;;;;;;;;;;;;;;;;
01014;7;12;19;9740;0.249;;;;;;;;;;;;;26;9950;0.233;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;37;9730;0.25;;;10;10590;0.184;;26;36;9200;0.291;;29;40;9110;0.298;;;;;;;;;;;;;;;;;;;;;;13;21;9940;0.234;;;;;;;;;;;;10;17;10040;0.226;;;;;;;;;;;;;;;;;;;;
01024;;6;10;9850;0.241;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;11;9790;0.246;;;;;;;;;;;;;9;10140;0.219;;;;;;;;;;;;;;;;;;;;
01025;;7;10;9070;0.301;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6;9750;0.249;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;9;8870;0.316;;;;;;;;;;;;;8;9300;0.283;;;;;;;;;;;;;;;;;;;;
01031;15;21;27;8020;0.382;;;;;;;41;45;7730;0.404;;25;34;8890;0.315;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;32;44;53;7750;0.403;;;;;;25;35;43;7760;0.402;28;40;49;7760;0.402;;;;;;;;;;;;;;;;;;;;;16;24;32;8540;0.342;;;;7440;0.426;;;;;;13;20;27;8790;0.322;;;;;;;;;;;;;;;;;;;;
01032;;10;16;9870;0.239;;;;;;;;22;10530;0.189;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;34;9950;0.233;;;;;;;18;27;9660;0.256;;20;29;9790;0.245;;;;;;;;;;;;;;;;;;;;;;12;19;10100;0.222;;;;;;;;;;;;10;16;10170;0.216;;;;;;;;;;;;;;;;;;;;
01033;12;17;23;8330;0.358;;;24;8110;0.375;15;21;27;8010;0.383;16;22;28;7730;0.404;13;17;21;7590;0.415;;11;16;8970;0.309;;;17;10360;0.201;11;15;21;8470;0.348;8;11;16;8850;0.318;9;13;18;8670;0.332;12;17;22;8450;0.349;24;33;40;7730;0.404;5;6;9;9150;0.295;22;30;39;8070;0.378;29;41;51;8220;0.366;15;20;26;7560;0.417;;;;;;;16;23;9090;0.3;;7;11;9560;0.263;13;18;24;8430;0.351;26;35;43;7470;0.424;;;;;;9;14;19;8980;0.308;45;55;;6000;0.538;;;;;;10;15;21;9220;0.289;;;;;
01034;15;21;29;8260;0.363;;;;;;23;30;41;8000;0.383;21;30;38;7880;0.393;14;18;25;8150;0.372;;12;19;9600;0.26;;;;;;12;18;25;8690;0.33;;12;17;8940;0.311;;16;24;9680;0.254;15;19;27;8240;0.365;33;44;55;7690;0.407;;7;11;10230;0.211;25;34;45;8000;0.383;37;47;61;7640;0.411;14;21;29;8680;0.331;;;;;;;;26;9040;0.303;;;;;;18;24;32;8100;0.376;28;36;49;7900;0.391;;;;;;13;19;28;9260;0.287;;;;6380;0.508;;;;;;9;13;19;8920;0.312;;;;;
01043;;5;8;10000;0.23;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;23;9400;0.275;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8;9850;0.241;;;;;;;;;;;;;;;;;;;;
