CODGEO;TP4018;TP5018;TP6018;TP60Q218;TP60IP18;AGE1TP4018;AGE1TP5018;AGE1TP6018;AGE1TP60Q218;AGE1TP60IP18;AGE2TP4018;AGE2TP5018;AGE2TP6018;AGE2TP60Q218;AGE2TP60IP18;AGE3TP4018;AGE3TP5018;AGE3TP6018;AGE3TP60Q218;AGE3TP60IP18;AGE4TP4018;AGE4TP5018;AGE4TP6018;AGE4TP60Q218;AGE4TP60IP18;AGE5TP4018;AGE5TP5018;AGE5TP6018;AGE5TP60Q218;AGE5TP60IP18;AGE6TP4018;AGE6TP5018;AGE6TP6018;AGE6TP60Q218;AGE6TP60IP18;TME1TP4018;TME1TP5018;TME1TP6018;TME1TP60Q218;TME1TP60IP18;TME2TP4018;TME2TP5018;TME2TP6018;TME2TP60Q218;TME2TP60IP18;TME3TP4018;TME3TP5018;TME3TP6018;TME3TP60Q218;TME3TP60IP18;TME4TP4018;TME4TP5018;TME4TP6018;TME4TP60Q218;TME4TP60IP18;TME5TP4018;TME5TP5018;TME5TP6018;TME5TP60Q218;TME5TP60IP18;TOL1TP4018;TOL1TP5018;TOL1TP6018;TOL1TP60Q218;TOL1TP60IP18;TOL2TP4018;TOL2TP5018;TOL2TP6018;TOL2TP60Q218;TOL2TP60IP18;TLD2TP4018;TLD2TP5018;TLD2TP6018;TLD2TP60Q218;TLD2TP60IP18;TLD3TP4018;TLD3TP5018;TLD3TP6018;TLD3TP60Q218;TLD3TP60IP18;TYM1TP4018;TYM1TP5018;TYM1TP6018;TYM1TP60Q218;TYM1TP60IP18;TYM2TP4018;TYM2TP5018;TYM2TP6018;TYM2TP60Q218;TYM2TP60IP18;TYM3TP4018;TYM3TP5018;TYM3TP6018;TYM3TP60Q218;TYM3TP60IP18;TYM4TP4018;TYM4TP5018;TYM4TP6018;TYM4TP60Q218;TYM4TP60IP18;TYM5TP4018;TYM5TP5018;TYM5TP6018;TYM5TP60Q218;TYM5TP60IP18;TYM6TP4018;TYM6TP5018;TYM6TP6018;TYM6TP60Q218;TYM6TP60IP18;OPR1TP4018;OPR1TP5018;OPR1TP6018;OPR1TP60Q218;OPR1TP60IP18;OPR2TP4018;OPR2TP5018;OPR2TP6018;OPR2TP60Q218;OPR2TP60IP18;OPR3TP4018;OPR3TP5018;OPR3TP6018;OPR3TP60Q218;OPR3TP60IP18;OPR4TP4018;OPR4TP5018;OPR4TP6018;OPR4TP60Q218;OPR4TP60IP18;OPR5TP4018;OPR5TP5018;OPR5TP6018;OPR5TP60Q218;OPR5TP60IP18;OPR6TP4018;OPR6TP5018;OPR6TP6018;OPR6TP60Q218;OPR6TP60IP18
01004;5;9;18;10700;0.179;;;20;10700;0.179;;12;22;10390;0.203;;11;21;10690;0.18;;8;16;10810;0.171;;;11;11110;0.148;;;;;;;;16;10740;0.176;;6;10;10570;0.189;;;16;10930;0.162;;9;16;10400;0.202;;17;32;10700;0.179;;;5;11000;0.156;6;15;28;10600;0.187;8;21;39;10660;0.182;;9;16;10410;0.202;;;;;;;;17;10990;0.157;;;;;;5;10;18;10760;0.174;;18;33;10690;0.18;;;;;;5;5;14;11310;0.132;;49;;9880;0.242;;;;;;;6;12;10790;0.172;;;;;;;;;8750;0.329
01014;;;10;10720;0.178;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;22;10470;0.197;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
01025;;;5;10780;0.173;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
01031;;8;17;10890;0.164;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;13;27;10960;0.16;;15;31;10920;0.162;;;;;;;;;;;;;;;;;;;;;;;18;10890;0.164;;;;;;;;;;;;;14;11170;0.143;;;;;;;;;;;;;;;;;;;;;;;;;
01032;;;7;11880;0.089;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
01033;5;10;16;10280;0.211;;;;;;;12;18;9760;0.251;6;12;19;10060;0.228;;9;16;10530;0.192;;;12;10850;0.168;;;;;;;9;16;10110;0.224;;6;12;10700;0.18;;8;12;9510;0.27;;11;17;9900;0.24;;15;26;10550;0.191;;5;6;9790;0.249;7;16;27;10370;0.204;8;19;36;10710;0.178;7;13;19;9710;0.255;;;;;;;;17;10580;0.189;;;9;10630;0.185;5;9;16;10380;0.204;;19;31;10090;0.226;;;;;;5;6;12;10800;0.172;;43;55;8950;0.314;;;;;;;8;16;10840;0.169;;;;;;;;;;
01034;5;9;18;10780;0.173;;;;;;;;25;10880;0.166;;13;24;10780;0.173;;;15;10710;0.179;;;14;10830;0.169;;;;;;;;16;10820;0.17;;;10;10580;0.188;;;15;10780;0.173;;;18;9910;0.24;;16;35;10960;0.159;;;7;10940;0.161;8;15;28;10710;0.179;11;22;40;10690;0.18;;;16;10840;0.168;;;;;;;;;;;;;;;;6;10;20;10850;0.168;;20;33;10330;0.207;;;;;;5;8;16;11020;0.155;;;;;;;;;;;;;13;10950;0.16;;;;;;;;;;
01043;;;5;10690;0.18;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
01053;6;13;22;10390;0.203;10;18;26;9600;0.263;7;17;28;10440;0.199;7;16;26;10270;0.212;6;14;23;10200;0.218;5;7;15;10970;0.159;;;10;11200;0.141;5;9;17;10680;0.181;5;7;13;10470;0.197;5;11;20;10540;0.191;7;15;24;10100;0.225;11;24;40;10320;0.209;;5;5;10790;0.172;9;19;33;10360;0.205;10;24;41;10430;0.2;7;12;19;10130;0.223;6;11;19;10000;0.233;;8;16;11050;0.152;;5;9;10590;0.187;7;15;25;10430;0.2;9;21;35;10190;0.218;;15;26;10160;0.22;5;9;18;10810;0.17;20;48;70;9810;0.248;;;23;9150;0.298;5;7;15;11000;0.156;;;;;;39;70;82;8820;0.323
01071;5;7;8;8020;0.385;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;14;9510;0.271;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
01074;;;11;10710;0.178;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;24;10860;0.167;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
01093;;5;10;11190;0.141;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;17;11070;0.151;;;25;10890;0.165;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8;11310;0.132;;;;;;;;;;;;;;;;;;;;;;;;;
01138;;7;15;10920;0.162;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;28;10480;0.196;;;32;10610;0.186;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;11;11370;0.127;;;;;;;;;;;;;;;;;;;;;;;;;
01142;;;6;11140;0.146;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
01143;5;6;9;8770;0.327;;;;;;;;;;;;;8;7650;0.413;;;12;6440;0.506;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5;5;6;6370;0.511;;9;13;9680;0.258;;;26;10250;0.214;;;;;;;;;;;;;;;;;;;;;;5;6;7000;0.463;;;;;;;;;;;;;5;9820;0.247;;;;;;;;;;;;;;;;;;;;;;;;;
01160;12;16;22;8120;0.377;;;;;;;14;19;8440;0.352;15;20;26;6940;0.468;;19;24;6930;0.468;;;21;7860;0.397;;;;;;;15;19;7120;0.454;;13;17;7690;0.41;;18;23;6870;0.473;;18;24;6950;0.467;;19;29;9320;0.285;12;13;16;4030;0.691;12;18;26;8890;0.318;;22;35;10270;0.212;13;16;19;6360;0.512;;;;;;;;;;;;;;;;13;17;23;8330;0.361;;27;34;6940;0.468;;;;;;5;8;13;9590;0.264;;;;;;;;;;;;;18;9730;0.254;;;;3030;0.768;;;;;
01173;5;6;10;9440;0.276;;;;;;;;8;10270;0.212;;;9;9440;0.276;;;12;8780;0.326;;;;;;;;;;;;;12;9310;0.286;;;;;;;;;;;;;8;8810;0.324;;;17;10320;0.209;;5;5;6420;0.508;5;9;14;10150;0.221;;12;22;10330;0.208;;;8;9130;0.299;;;;;;;;;;;;;;;;5;6;9;9440;0.276;;;16;9610;0.263;;;;;;;5;6;10350;0.206;;;;;;;;;;;;;;;;;;;;;;;;;
