CODGEO;TR1PACT18;TR1PTSA18;TR1PCHO18;TR1PBEN18;TR1PPEN18;TR1PAUT18;TR2PACT18;TR2PTSA18;TR2PCHO18;TR2PBEN18;TR2PPEN18;TR2PAUT18;TR3PACT18;TR3PTSA18;TR3PCHO18;TR3PBEN18;TR3PPEN18;TR3PAUT18;TR4PACT18;TR4PTSA18;TR4PCHO18;TR4PBEN18;TR4PPEN18;TR4PAUT18;TR5PACT18;TR5PTSA18;TR5PCHO18;TR5PBEN18;TR5PPEN18;TR5PAUT18;TR6PACT18;TR6PTSA18;TR6PCHO18;TR6PBEN18;TR6PPEN18;TR6PAUT18;TR7PACT18;TR7PTSA18;TR7PCHO18;TR7PBEN18;TR7PPEN18;TR7PAUT18;TR8PACT18;TR8PTSA18;TR8PCHO18;TR8PBEN18;TR8PPEN18;TR8PAUT18;TR9PACT18;TR9PTSA18;TR9PCHO18;TR9PBEN18;TR9PPEN18;TR9PAUT18;TR10PACT18;TR10PTSA18;TR10PCHO18;TR10PBEN18;TR10PPEN18;TR10PAUT18
01004;84;54.9;23.9;5.2;15.4;0.6;77.2;65;10.6;1.6;21.7;1.1;69.2;61.2;6.8;1.2;29.9;0.9;65.1;59.7;4.2;1.2;33.4;1.5;68.4;64.1;3.1;1.2;30.9;0.7;67.6;63.8;2.8;1;30.9;1.5;68.2;64.9;1.4;1.9;29.4;2.4;70.5;66.6;1.6;2.3;26.9;2.6;69.6;65.7;1.1;2.8;26.3;4.1;53.7;45.2;0.9;7.6;11.7;34.6
01007;;;;;;;;;;;;;67.8;;;;32.1;0.1;66.4;;;;31.9;1.7;68.4;;;;29.9;1.7;66.7;;;;30.3;3;76.1;;;;21.3;2.6;74.7;70;0.8;3.9;22.4;2.9;76.4;;;;19.4;4.2;;;;;;
01014;;;;;;;77.2;;;;21.5;1.3;71.7;;;;27.5;0.8;58.9;;;;40.2;0.9;61.4;;;;37.2;1.4;63.2;;;;34.9;1.9;69.2;;;;29.7;1.1;71.7;;;;25.9;2.4;68.7;;;;27.2;4.1;39;;;;13.8;47.2
01024;;;;;;;72.1;;;;26.6;1.3;71.3;;;;27.5;1.2;75.4;;;;23.5;1.1;73.2;67.5;2.9;2.8;25.4;1.4;72.2;;;;26;1.8;70.3;65.6;2.1;2.6;27.4;2.3;67.3;;;;29.9;2.8;72.3;68.1;0.6;3.6;24;3.7;;;;;;
01025;;;;;;;67.8;;;;30.5;1.7;54.8;45.2;4.8;4.8;42.7;2.5;70.4;64.2;3.4;2.8;28.6;1;72.9;67.4;2.5;3;25.9;1.2;76.7;71.7;2.3;2.7;21.9;1.4;79.6;75.1;1.2;3.3;19;1.4;79.7;73.6;2;4.1;17.8;2.5;75.7;68.6;1.5;5.6;20;4.3;70;;;;15.2;14.8
01031;75.5;;;;23.4;1.1;80.7;;;;18.9;0.4;65.5;;;;33.8;0.7;68.7;;;;30.1;1.2;59.2;;;;40.2;0.6;61.1;;;;36.9;2;64.1;;;;34.5;1.4;71.6;;;;25.8;2.6;60.4;;;;36.1;3.5;64.2;;;;22.1;13.7
01032;;;;;;;91.5;;;;8.5;0;84.1;;;;14.3;1.6;79.2;;;;19.8;1;79.5;;;;19.3;1.2;69.3;;;;29;1.7;73;;;;25;2;71.7;;;;25.9;2.4;76;;;;21.7;2.3;72.7;;;;16.8;10.5
01033;77.4;53.7;19.7;4;21.2;1.4;70.5;58;10.9;1.6;28.5;1;64.3;55.5;7.5;1.3;34.7;1;57.5;51.7;4.9;0.9;40.4;2.1;61.9;57.3;3.4;1.2;35.8;2.3;69.9;64.9;3.5;1.5;28.4;1.7;70.9;66.3;3.2;1.4;27.2;1.9;75.7;71.7;3.2;0.8;21.3;3;77.3;72.7;2.9;1.7;19.4;3.3;78.8;73.1;1.6;4.1;14.6;6.6
01034;77.5;58.4;16.3;2.8;21.9;0.6;72.7;61.4;9.1;2.2;26.7;0.6;62.9;54.6;6.7;1.6;35.9;1.2;56.9;51.5;3.1;2.3;41.2;1.9;64.4;60;2.7;1.7;33.7;1.9;60.8;56.6;2.3;1.9;37.1;2.1;64.4;59.5;2.6;2.3;33.2;2.4;65.2;60;2;3.2;30.8;4;61.2;54.6;1.4;5.2;34;4.8;57;46.2;0.9;9.9;26.7;16.3
01043;;;;;;;72.1;;;;26.7;1.2;72.8;62.2;4;6.6;27.9;-0.7;70.7;;;;27.5;1.8;66.6;60.6;3.4;2.6;29.7;3.7;69.7;63.3;3.1;3.3;27.8;2.5;64.7;;;;31.2;4.1;64.6;;;;32.3;3.1;71.3;66.3;1.6;3.4;25.1;3.6;76.9;68;1.2;7.7;12.6;10.5
01049;;;;;;;;;;;;;78.8;;;;21.5;-0.3;68.1;;;;31.2;0.7;80.9;;;;16.4;2.7;67.1;;;;31.7;1.2;66.9;63.5;2;1.4;30.9;2.2;71.9;;;;25;3.1;75;69.4;1.7;3.9;19.7;5.3;77.5;68.7;1.1;7.7;13.5;9
01053;78.8;55.8;21;2;20.9;0.3;73.6;60.5;11.3;1.8;26.4;0;67.7;60;6.7;1;31.5;0.8;60.2;54.7;4.2;1.3;38.8;1;61.8;57.9;3.1;0.8;37.1;1.1;62.4;59.6;1.9;0.9;35.9;1.7;61.7;58.3;2;1.4;36;2.3;61.1;57.8;1.3;2;36.3;2.6;56.5;51.8;1.4;3.3;39.3;4.2;64.7;53.6;0.9;10.2;22.8;12.5
01071;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;74.5;;;;23;2.5;80.7;71.3;4.5;4.9;15.5;3.8;79.3;;;;17.4;3.3;80.3;74.8;4.3;1.2;16.4;3.3;85.5;81.1;1.7;2.7;10.1;4.4
01072;;;;;;;78.2;;;;21.1;0.7;73.7;;;;24.9;1.4;66.2;;;;31.7;2.1;64.1;;;;35.7;0.2;72.9;68.2;2.9;1.8;25.6;1.5;74;69.9;1.8;2.3;24.5;1.5;63.2;58.2;2.4;2.6;32.5;4.3;65.6;59.6;1.4;4.6;28.3;6.1;70.6;55.1;1.1;14.4;17.2;12.2
01074;;;;;;;;;;;;;68.6;;;;28.9;2.5;70.1;62.3;4.7;3.1;29;0.9;73.2;;;;24.5;2.3;77.6;71.4;3.5;2.7;19.9;2.5;75.8;;;;21.1;3.1;73.8;;;;23.1;3.1;77.4;;;;17.4;5.2;;;;;;
01089;;;;;;;;;;;;;77.9;;;;19.8;2.3;72.1;;;;26.1;1.8;71.2;;;;28;0.8;79.8;;;;19;1.2;71.9;;;;25.5;2.6;74;;;;21.6;4.4;80.1;;;;17.4;2.5;;;;;;
01093;71.4;57.2;18.4;-4.2;29.1;-0.5;66.2;;;;32.7;1.1;59.5;;;;39.3;1.2;51.9;;;;46.6;1.5;59.1;;;;39.3;1.6;59.8;55.4;2.1;2.3;38.5;1.7;63.1;;;;34.3;2.6;65;60.3;2;2.7;32.3;2.7;64.7;57.3;2.5;4.9;28.8;6.5;63.1;52.7;0.6;9.8;18.4;18.5
01130;;;;;;;;;;;;;;;;;;;71.6;;;;26.3;2.1;76.2;;;;22.3;1.5;76.1;;;;21.9;2;75.9;70.6;2.1;3.2;21.4;2.7;79.6;75.6;1.4;2.6;18.9;1.5;;;;;;;;;;;;
01138;;;;;;;74.9;;;;24.6;0.5;63.8;;;;35.7;0.5;64.6;;;;34.3;1.1;55.8;;;;42.8;1.4;59.5;;;;38.6;1.9;67.7;61.9;3;2.8;30.4;1.9;69.6;;;;28.2;2.2;65.3;;;;29.1;5.6;;;;;;
01142;;;;;;;78;;;;21.5;0.5;70.3;;;;28.4;1.3;73.6;;;;25.2;1.2;73.6;67.7;3.6;2.3;25;1.4;69.1;;;;29.8;1.1;70.6;66.9;2.3;1.4;25.9;3.5;79.8;75.1;2;2.7;18.7;1.5;77.2;;;;18.9;3.9;73.8;62.3;1.1;10.4;11.9;14.3
01143;62;34.7;19;8.3;23.7;14.3;65.7;52.7;8.7;4.3;30.5;3.8;58.1;45.4;9.2;3.5;36.4;5.5;59.3;;;;35.1;5.6;58.9;;;;34.4;6.7;65.7;;;;30.3;4;60.7;;;;34.2;5.1;63.7;56.9;4.4;2.4;31.3;5;70.2;63.3;4.3;2.6;23.4;6.4;85.2;80.6;1.8;2.8;9.7;5.1
01153;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;76.5;;;;20.3;3.2;85.8;81.6;1.9;2.3;11;3.2
01157;;;;;;;;;;;;;;;;;;;;;;;;;59.8;;;;36.8;3.4;62.4;;;;36.2;1.4;69.3;64.6;2.8;1.9;27.4;3.3;70.5;64.1;3;3.4;25.7;3.8;75.4;;;;20.1;4.5;68.1;;;;10.7;21.2
01159;;;;;;;64.4;;;;35.8;-0.2;60.5;;;;40.2;-0.7;61.8;;;;36.9;1.3;65.4;60.5;2.2;2.7;32.1;2.5;73.4;67.2;3.2;3;23.3;3.3;71.5;;;;26.2;2.3;75.5;70.6;1.1;3.8;21.7;2.8;71.5;65;1.5;5;22.3;6.2;67.8;56.5;0.9;10.4;13.1;19.1
01160;69.6;45.9;19.8;3.9;15.6;14.8;71.9;57.1;10.7;4.1;21.9;6.2;66.4;;;;27.3;6.3;70.1;;;;24;5.9;69.2;;;;25.5;5.3;72;;;;24.4;3.6;79.5;;;;17.9;2.6;67.2;;;;29.3;3.5;75.5;69.6;4;1.9;21.2;3.3;73.9;71.1;1.6;1.2;19.1;7
01166;;;;;;;;;;;;;;;;;;;66.7;;;;32;1.3;68.8;;;;30.1;1.1;61.3;;;;37.1;1.6;75.9;69.2;2.7;4;22;2.1;76.4;70.3;3.1;3;21.2;2.4;78.5;72.1;1.5;4.9;18;3.5;73.7;;;;9.8;16.5
01173;71.5;54;13.8;3.7;19.4;9.1;82.2;68.8;11.1;2.3;15.8;2;77.3;64.4;9.6;3.3;20.3;2.4;79.1;70.1;6.6;2.4;18;2.9;79;;;;18.8;2.2;81.7;73.5;6.7;1.5;16.2;2.1;79.6;71.8;4.9;2.9;17.5;2.9;84.1;76;6.3;1.8;13.2;2.7;88;82.4;4.6;1;9.3;2.7;88.5;85;1.5;2;8.3;3.2
01185;70.8;41.3;18;11.5;27.4;1.8;63.3;48.2;11.5;3.6;35.4;1.3;57.9;;;;40.5;1.6;60;;;;38.8;1.2;55.3;49.5;3.7;2.1;43;1.7;58.8;54.3;2.1;2.4;39.2;2;56.2;51.7;1.5;3;41.7;2.1;60.1;53.3;1.6;5.2;35.5;4.4;66;57.9;3;5.1;28.5;5.5;65.7;50.6;2;13.1;20.5;13.8
01192;;;;;;;;;;;;;75;;;;23.9;1.1;72.1;;;;26.3;1.6;70.4;;;;28.6;1;70;;;;27.9;2.1;73.7;;;;24;2.3;85.8;;;;12.5;1.7;79.6;;;;17;3.4;;;;;;
01194;76.9;46.4;21.5;9;23.1;0;73.1;;;;26;0.9;65;;;;34.6;0.4;56.3;50.9;3.2;2.2;42.7;1;59.4;54.4;3;2;38.9;1.7;65.6;60.2;2.5;2.9;33.2;1.2;68.9;64.1;2.5;2.3;29.8;1.3;71.2;66.9;2.1;2.2;26.5;2.3;75.6;70.4;2.6;2.6;20.6;3.8;74.8;65.3;2.1;7.4;15.1;10.1
01202;75.7;46.8;24.1;4.8;24.5;-0.2;69;;;;29.7;1.3;62.8;54.3;7.4;1.1;36.2;1;65.2;;;;33.6;1.2;64.1;59.3;3.6;1.2;34.4;1.5;69.3;64.5;2.8;2;28.9;1.8;68.2;64.7;1.8;1.7;29.4;2.4;75.5;71;1.4;3.1;22.3;2.2;72.8;67.9;0.9;4;23.4;3.8;66.3;53.9;1.4;11;20.3;13.4
01224;;;;;;;72.8;;;;26.6;0.6;69.1;;;;30.5;0.4;77;67.3;5.3;4.4;21.6;1.4;74.2;;;;25;0.8;72.9;;;;25.6;1.5;79;;;;18.6;2.4;75.3;;;;22.2;2.5;79.8;75.1;0.9;3.8;16.3;3.9;;;;;;
01231;;;;;;;;;;;;;47.3;;;;50.9;1.8;62.9;;;;34.9;2.2;68.9;;;;28.4;2.7;74.5;;;;24.3;1.2;73.8;;;;23.8;2.4;68.6;;;;26.6;4.8;71.2;;;;23.2;5.6;;;;;;
01232;;;;;;;;;;;;;52.2;;;;45.6;2.2;55.3;;;;41.6;3.1;65.6;59.5;2.3;3.8;32.3;2.1;66.4;62;1.6;2.8;30.7;2.9;71.1;65.2;3;2.9;26.5;2.4;61.7;55.6;1.8;4.3;34.3;4;63.2;;;;31.5;5.3;;;;;;
01238;;;;;;;;;;;;;;;;;;;70;;;;28.9;1.1;65.5;;;;34;0.5;68.4;;;;29;2.6;66.7;;;;31.5;1.8;72.6;65.9;4.1;2.6;24.3;3.1;75.4;69.7;2.8;2.9;20.9;3.7;79.7;68.3;1.3;10.1;8.1;12.2
01244;80.6;;;;18.5;0.9;74.6;63.2;9;2.4;25.2;0.2;65.4;57.8;5.6;2;33.7;0.9;63.5;58.3;4.2;1;35.4;1.1;70.6;66.7;3.1;0.8;28.4;1;74.4;70.2;2.9;1.3;24.2;1.4;73.5;70.1;2;1.4;24.9;1.6;77.1;73.7;1.4;2;20.6;2.3;78.4;74.3;1.5;2.6;18.1;3.5;77.3;70.3;1.1;5.9;13.9;8.8
01246;;;;;;;;;;;;;59.8;;;;38.9;1.3;61.7;;;;37.7;0.6;58.2;;;;38.8;3;69.5;;;;29.2;1.3;70.2;;;;27.3;2.5;63.3;;;;32.1;4.6;74.5;63.4;1.4;9.7;21.2;4.3;;;;;;
01248;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;74.1;;;;24.4;1.5;73.3;65.6;2;5.7;24.8;1.9;74.2;;;;24;1.8;80.6;76.3;0.7;3.6;16.6;2.8;78.8;70.8;1.4;6.6;10.3;10.9
01249;81;53.6;19.9;7.5;29.8;-10.8;75.7;61.4;10.3;4;24.1;0.2;67;;;;31.2;1.8;67.5;60.7;4.2;2.6;31.3;1.2;65.5;60.2;3.3;2;32.7;1.8;69.2;64.1;2.3;2.8;29.4;1.4;74.7;70.7;1.9;2.1;23.1;2.2;71.9;67.5;1.4;3;24.9;3.2;75.9;72.5;1.5;1.9;21;3.1;71;63.5;1.1;6.4;12.9;16.1
01254;;;;;;;;;;;;;;;;;;;;;;;;;68.6;;;;29.8;1.6;71.1;;;;25.3;3.6;71.7;;;;26.3;2;72;;;;25.3;2.7;67.4;59.5;2.7;5.2;28.9;3.7;68.2;59.1;0.8;8.3;16.1;15.7
